no;angle;lat;lon;;;;
486;453.259;-2.843;49.919;;;;
485;452.519;-2.197;49.952;;;;
484;451.778;-1.551;49.976;;;;
483;451.037;-0.905;49.992;;;;
482;450.296;-0.259;49.999;;;;
481;449.556;0.388;49.998;;;;
480;448.815;1.034;49.989;;;;
479;448.074;1.680;49.972;;;;
478;447.333;2.326;49.946;;;;
477;446.593;2.972;49.912;;;;
476;445.852;3.617;49.869;;;;
475;445.111;4.261;49.818;;;;
474;444.370;4.905;49.759;;;;
473;443.630;5.548;49.691;;;;
472;442.889;6.190;49.615;;;;
471;442.148;6.831;49.531;;;;
470;441.407;7.470;49.439;;;;
469;440.667;8.109;49.338;;;;
468;439.926;8.746;49.229;;;;
467;439.185;9.382;49.112;;;;
466;438.444;10.016;48.987;;;;
465;437.704;10.648;48.853;;;;
464;436.963;11.279;48.711;;;;
463;436.222;11.908;48.561;;;;
462;435.481;12.535;48.403;;;;
461;434.741;13.159;48.237;;;;
460;434.000;13.782;48.063;;;;
459;433.259;14.402;47.881;;;;
458;432.519;15.020;47.691;;;;
457;431.778;15.635;47.493;;;;
456;431.037;16.248;47.286;;;;
455;430.296;16.858;47.072;;;;
454;429.556;17.465;46.851;;;;
453;428.815;18.069;46.621;;;;
452;428.074;18.670;46.383;;;;
451;427.333;19.268;46.138;;;;
450;426.593;19.863;45.885;;;;
449;425.852;20.455;45.625;;;;
448;425.111;21.043;45.356;;;;
447;424.370;21.628;45.080;;;;
446;423.630;22.209;44.797;;;;
445;422.889;22.786;44.506;;;;
444;422.148;23.359;44.208;;;;
443;421.407;23.929;43.902;;;;
442;420.667;24.494;43.589;;;;
441;419.926;25.056;43.269;;;;
440;419.185;25.613;42.941;;;;
439;418.444;26.166;42.607;;;;
438;417.704;26.715;42.265;;;;
437;416.963;27.259;41.916;;;;
436;416.222;27.799;41.560;;;;
435;415.481;28.334;41.197;;;;
434;414.741;28.864;40.827;;;;
433;414.000;29.389;40.451;;;;
432;413.259;29.910;40.068;;;;
431;412.519;30.425;39.678;;;;
430;411.778;30.936;39.281;;;;
429;411.037;31.441;38.878;;;;
428;410.296;31.941;38.468;;;;
427;409.556;32.436;38.052;;;;
426;408.815;32.925;37.629;;;;
425;408.074;33.408;37.200;;;;
424;407.333;33.887;36.765;;;;
423;406.593;34.359;36.324;;;;
422;405.852;34.826;35.877;;;;
421;405.111;35.287;35.424;;;;
420;404.370;35.742;34.965;;;;
419;403.630;36.191;34.500;;;;
418;402.889;36.634;34.029;;;;
417;402.148;37.071;33.552;;;;
416;401.407;37.501;33.070;;;;
415;400.667;37.926;32.583;;;;
414;399.926;38.344;32.090;;;;
413;399.185;38.755;31.591;;;;
412;398.444;39.161;31.088;;;;
411;397.704;39.559;30.579;;;;
410;396.963;39.951;30.065;;;;
409;396.222;40.337;29.546;;;;
408;395.481;40.715;29.022;;;;
407;394.741;41.087;28.493;;;;
406;394.000;41.452;27.960;;;;
405;393.259;41.810;27.421;;;;
404;392.519;42.161;26.879;;;;
403;391.778;42.505;26.331;;;;
402;391.037;42.842;25.780;;;;
401;390.296;43.171;25.224;;;;
400;389.556;43.494;24.663;;;;
399;388.815;43.809;24.099;;;;
398;388.074;44.117;23.531;;;;
397;387.333;44.418;22.958;;;;
396;386.593;44.711;22.382;;;;
395;385.852;44.996;21.802;;;;
394;385.111;45.274;21.219;;;;
393;384.370;45.545;20.632;;;;
392;383.630;45.808;20.041;;;;
391;382.889;46.063;19.447;;;;
390;382.148;46.311;18.850;;;;
389;381.407;46.550;18.250;;;;
388;380.667;46.782;17.647;;;;
387;379.926;47.007;17.040;;;;
386;379.185;47.223;16.431;;;;
385;378.444;47.432;15.819;;;;
384;377.704;47.632;15.205;;;;
383;376.963;47.825;14.588;;;;
382;376.222;48.009;13.968;;;;
381;375.481;48.186;13.346;;;;
380;374.741;48.354;12.722;;;;
379;374.000;48.515;12.096;;;;
378;373.259;48.667;11.468;;;;
377;372.519;48.811;10.838;;;;
376;371.778;48.947;10.206;;;;
375;371.037;49.075;9.572;;;;
374;370.296;49.195;8.937;;;;
373;369.556;49.306;8.300;;;;
372;368.815;49.409;7.662;;;;
371;368.074;49.504;7.023;;;;
370;367.333;49.591;6.382;;;;
369;366.593;49.669;5.740;;;;
368;365.852;49.739;5.098;;;;
367;365.111;49.801;4.454;;;;
366;364.370;49.855;3.810;;;;
365;363.630;49.900;3.165;;;;
364;362.889;49.936;2.520;;;;
363;362.148;49.965;1.874;;;;
362;361.407;49.985;1.228;;;;
361;360.667;49.997;0.582;;;;
360;359.926;50.000;-0.065;;;;
359;359.185;49.995;-0.711;;;;
358;358.444;49.982;-1.357;;;;
357;357.704;49.960;-2.003;;;;
356;356.963;49.930;-2.649;;;;
355;356.222;49.891;-3.294;;;;
354;355.481;49.845;-3.939;;;;
353;354.741;49.790;-4.583;;;;
352;354.000;49.726;-5.226;;;;
351;353.259;49.654;-5.869;;;;
350;352.519;49.574;-6.510;;;;
349;351.778;49.486;-7.151;;;;
348;351.037;49.389;-7.790;;;;
347;350.296;49.285;-8.428;;;;
346;349.556;49.172;-9.064;;;;
345;348.815;49.050;-9.699;;;;
344;348.074;48.921;-10.332;;;;
343;347.333;48.783;-10.964;;;;
342;346.593;48.637;-11.594;;;;
341;345.852;48.483;-12.221;;;;
340;345.111;48.321;-12.847;;;;
339;344.370;48.151;-13.471;;;;
338;343.630;47.973;-14.092;;;;
337;342.889;47.787;-14.711;;;;
336;342.148;47.593;-15.328;;;;
335;341.407;47.390;-15.942;;;;
334;340.667;47.180;-16.553;;;;
333;339.926;46.962;-17.162;;;;
332;339.185;46.737;-17.767;;;;
331;338.444;46.503;-18.370;;;;
330;337.704;46.262;-18.970;;;;
329;336.963;46.013;-19.566;;;;
328;336.222;45.756;-20.160;;;;
327;335.481;45.491;-20.749;;;;
326;334.741;45.219;-21.336;;;;
325;334.000;44.940;-21.919;;;;
324;333.259;44.653;-22.498;;;;
323;332.519;44.358;-23.073;;;;
322;331.778;44.056;-23.645;;;;
321;331.037;43.747;-24.212;;;;
320;330.296;43.430;-24.776;;;;
319;329.556;43.106;-25.335;;;;
318;328.815;42.775;-25.890;;;;
317;328.074;42.437;-26.441;;;;
316;327.333;42.091;-26.988;;;;
315;326.593;41.739;-27.529;;;;
314;325.852;41.379;-28.067;;;;
313;325.111;41.013;-28.599;;;;
312;324.370;40.640;-29.127;;;;
311;323.630;40.260;-29.650;;;;
310;322.889;39.873;-30.168;;;;
309;322.148;39.480;-30.681;;;;
308;321.407;39.080;-31.189;;;;
307;320.667;38.674;-31.692;;;;
306;319.926;38.261;-32.189;;;;
305;319.185;37.841;-32.681;;;;
304;318.444;37.416;-33.167;;;;
303;317.704;36.984;-33.648;;;;
302;316.963;36.546;-34.124;;;;
301;316.222;36.101;-34.593;;;;
300;315.481;35.651;-35.057;;;;
299;314.741;35.195;-35.515;;;;
298;314.000;34.733;-35.967;;;;
297;313.259;34.265;-36.413;;;;
296;312.519;33.791;-36.853;;;;
295;311.778;33.312;-37.287;;;;
294;311.037;32.827;-37.714;;;;
293;310.296;32.337;-38.136;;;;
292;309.556;31.841;-38.550;;;;
291;308.815;31.340;-38.959;;;;
290;308.074;30.834;-39.361;;;;
289;307.333;30.323;-39.756;;;;
288;306.593;29.806;-40.145;;;;
287;305.852;29.285;-40.527;;;;
286;305.111;28.758;-40.902;;;;
285;304.370;28.227;-41.270;;;;
284;303.630;27.691;-41.632;;;;
283;302.889;27.151;-41.986;;;;
282;302.148;26.606;-42.334;;;;
281;301.407;26.056;-42.674;;;;
280;300.667;25.502;-43.007;;;;
279;299.926;24.944;-43.334;;;;
278;299.185;24.382;-43.652;;;;
277;298.444;23.815;-43.964;;;;
276;297.704;23.245;-44.268;;;;
